holding_days,sample,n_trades,mean_net_%,median_net_%,std_net_%,win_rate_%,best_%,worst_%
1,all,101,0.09,-0.118,1.769,47.525,9.107,-3.968
1,in-sample,84,0.033,-0.287,1.879,45.238,9.107,-3.968
1,out-of-sample,17,0.373,0.169,1.067,58.824,2.276,-1.221
3,all,101,0.392,0.327,3.137,57.426,13.152,-6.131
3,in-sample,84,0.287,0.222,3.289,54.762,13.152,-6.131
3,out-of-sample,17,0.913,0.979,2.244,70.588,5.18,-3.48
5,all,101,0.443,0.34,4.323,54.455,11.916,-19.42
5,in-sample,84,0.351,0.189,4.588,53.571,11.916,-19.42
5,out-of-sample,17,0.897,0.45,2.713,58.824,6.935,-4.28
10,all,101,0.811,1.054,5.74,55.446,13.893,-21.249
10,in-sample,84,0.566,0.298,6.057,51.19,13.893,-21.249
10,out-of-sample,17,2.019,1.853,3.703,76.471,9.755,-3.846
