threshold_%,holding_days,n_trades,mean_net_%,median_net_%,win_rate_%,worst_%,oos_n,oos_mean_%
-1.5,1,302,-0.136,-0.189,43.046,-8.898,53,-0.071
-1.5,3,244,-0.039,0.256,54.508,-17.839,48,0.487
-1.5,5,207,0.028,0.292,52.657,-14.579,40,-0.062
-1.5,10,156,0.375,0.212,53.846,-21.249,34,1.171
-1.5,20,105,0.317,0.734,54.286,-34.521,24,0.848
-2.0,1,175,-0.155,-0.181,43.429,-8.898,24,0.18
-2.0,3,143,-0.266,0.245,53.846,-17.839,22,0.927
-2.0,5,124,-0.18,-0.273,49.194,-19.42,19,0.553
-2.0,10,101,0.811,1.054,55.446,-21.249,17,2.019
-2.0,20,72,0.713,0.553,61.111,-28.864,14,2.397
-2.5,1,106,-0.047,-0.073,49.057,-8.898,13,0.574
-2.5,3,87,0.175,0.351,58.621,-11.206,12,0.945
-2.5,5,75,0.112,0.751,58.667,-17.065,12,0.881
-2.5,10,62,1.529,1.973,61.29,-19.431,11,2.485
-2.5,20,47,2.336,3.152,68.085,-32.608,10,2.823
-3.0,1,73,-0.055,-0.142,46.575,-8.898,7,0.851
-3.0,3,61,0.125,0.478,57.377,-11.206,7,1.841
-3.0,5,53,0.542,1.162,60.377,-13.43,7,1.142
-3.0,10,40,0.996,2.15,60.0,-19.431,6,2.891
-3.0,20,31,1.992,3.152,61.29,-27.478,6,3.78
